"C","CTY","J","Val"
"cmilk","CRB","jeggs",0.00425284920747378
"cmilk","CRB","jmilk",0.00425284920747378
"cmilk","CYP","jbeef",0.0933199775036357
"cmilk","CYP","jpork",0.0933199775036357
"cmilk","CYP","jlamb",0.0933199775036357
"cmilk","CYP","jpoul",0.0933199775036357
"cmilk","CYP","jeggs",0.0933199775036357
"cmilk","CYP","jmilk",0.0933199775036357
"cmilk","CZE","jbeef",0.0441474851592099
"cmilk","CZE","jpork",0.0441474851592099
"cmilk","CZE","jlamb",0.0441474851592099
"cmilk","CZE","jpoul",0.0441474851592099
"cmilk","CZE","jeggs",0.0441474851592099
"cmilk","CZE","jmilk",0.0441474851592099
"cmilk","DEU","jbeef",0.0466861076672701
"cmilk","DEU","jpork",0.0466861076672701
"cmilk","DEU","jlamb",0.0466861076672701
"cmilk","DEU","jpoul",0.0466861076672701
"cmilk","DEU","jeggs",0.0466861076672701
"cmilk","DEU","jmilk",0.0466861076672701
"cmilk","DNK","jbeef",0.0294435210206856
"cmilk","DNK","jpork",0.0294435210206856
"cmilk","DNK","jlamb",0.0294435210206856
"cmilk","DNK","jpoul",0.0294435210206856
"cmilk","DNK","jeggs",0.0294435210206856
"cmilk","DNK","jmilk",0.0294435210206856
"cmilk","ECU","jbeef",0.262636589552507
"cmilk","ECU","jpork",0.262636589552507
"cmilk","ECU","jlamb",0.262636589552507
"cmilk","ECU","jpoul",0.262636589552507
"cmilk","ECU","jeggs",0.262636589552507
"cmilk","ECU","jmilk",0.262636589552507
"cmilk","FJI","jbeef",0.00425284920747378
"cmilk","FJI","jpork",0.00425284920747378
"cmilk","FJI","jlamb",0.00425284920747378
"cmilk","FJI","jpoul",0.00425284920747378
"cmilk","FJI","jeggs",0.00425284920747378
"cmilk","FJI","jmilk",0.00425284920747378
"cmilk","FNP","jbeef",0.0294435210206856
"cmilk","FNP","jpork",0.0294435210206856
"cmilk","FNP","jlamb",0.0294435210206856
"cmilk","FNP","jpoul",0.0294435210206856
"cmilk","FNP","jeggs",0.0294435210206856
"cmilk","FNP","jmilk",0.0294435210206856
"cmilk","FRP","jbeef",0.0824276260352691
"cmilk","FRP","jpork",0.0824276260352691
"cmilk","FRP","jlamb",0.0824276260352691
"cmilk","FRP","jpoul",0.0824276260352691
"cmilk","FRP","jeggs",0.0824276260352691
"cmilk","FRP","jmilk",0.0824276260352691
"cmilk","GEO","jbeef",0.112241007654263
"cmilk","GEO","jpork",0.112241007654263
"cmilk","GEO","jlamb",0.112241007654263
"cmilk","GEO","jpoul",0.112241007654263
"cmilk","GEO","jeggs",0.112241007654263
"cmilk","GEO","jmilk",0.112241007654263
"cmilk","GRC","jbeef",0.0277740338492647
"cmilk","GRC","jpork",0.0277740338492647
"cmilk","GRC","jlamb",0.0277740338492647
"cmilk","GRC","jpoul",0.0277740338492647
"cmilk","GRC","jeggs",0.0277740338492647
"cmilk","GRC","jmilk",0.0277740338492647
"cmilk","GSA","jbeef",0.00011833348080599
"cmilk","GSA","jpork",0.00011833348080599
"cmilk","GSA","jlamb",0.00011833348080599
"cmilk","GSA","jpoul",0.00011833348080599
"cmilk","GSA","jeggs",0.00011833348080599
"cmilk","GSA","jmilk",0.00011833348080599
"cmilk","HRV","jbeef",0.0277740338492647
"cmilk","HRV","jpork",0.0277740338492647
"cmilk","HRV","jlamb",0.0277740338492647
"cmilk","HRV","jpoul",0.0277740338492647
"cmilk","HRV","jeggs",0.0277740338492647
"cmilk","HRV","jmilk",0.0277740338492647
"cmilk","HUN","jbeef",0.0441474851592099
"cmilk","HUN","jpork",0.0441474851592099
"cmilk","HUN","jlamb",0.0441474851592099
"cmilk","HUN","jpoul",0.0441474851592099
"cmilk","HUN","jeggs",0.0441474851592099
"cmilk","HUN","jmilk",0.0441474851592099
"cmilk","IDN","jbeef",0.0151404279152991
"cmilk","IDN","jpork",0.0151404279152991
"cmilk","IDN","jlamb",0.0151404279152991
"cmilk","IDN","jpoul",0.0151404279152991
"cmilk","IDN","jeggs",0.0151404279152991
"cmilk","IDN","jmilk",0.0151404279152991
"cmilk","IRL","jbeef",0.0143967463628344
"cmilk","IRL","jpork",0.0143967463628344
"cmilk","IRL","jlamb",0.0143967463628344
"cmilk","IRL","jpoul",0.0143967463628344
"cmilk","IRL","jeggs",0.0143967463628344
"cmilk","IRL","jmilk",0.0143967463628344
"cmilk","ISL","jbeef",0.0294435210206856
"cmilk","ISL","jpork",0.0294435210206856
"cmilk","ISL","jlamb",0.0294435210206856
"cmilk","ISL","jpoul",0.0294435210206856
"cmilk","ISL","jeggs",0.0294435210206856
"cmilk","ISL","jmilk",0.0294435210206856
"cmilk","ISR","jbeef",0.00687350556531648
"cmilk","ISR","jpork",0.00687350556531648
"cmilk","ISR","jlamb",0.00687350556531648
"cmilk","ISR","jpoul",0.00687350556531648
"cmilk","ISR","jeggs",0.00687350556531648
"cmilk","ISR","jmilk",0.00687350556531648
"cmilk","ITP","jbeef",0.0583405367235618
"cmilk","ITP","jpork",0.0583405367235618
"cmilk","ITP","jlamb",0.0583405367235618
"cmilk","ITP","jpoul",0.0583405367235618
"cmilk","ITP","jeggs",0.0583405367235618
"cmilk","ITP","jmilk",0.0583405367235618
"cmilk","JAM","jbeef",0.00425284920747378
"cmilk","JAM","jpork",0.00425284920747378
"cmilk","JAM","jlamb",0.00425284920747378
"cmilk","JAM","jpoul",0.00425284920747378
"cmilk","JAM","jeggs",0.00425284920747378
"cmilk","JAM","jmilk",0.00425284920747378
"cmilk","JPN","jbeef",0.0183522047118323
"cmilk","JPN","jpork",0.0183522047118323
"cmilk","JPN","jlamb",0.0183522047118323
"cmilk","JPN","jpoul",0.0183522047118323
"cmilk","JPN","jeggs",0.0183522047118323
"cmilk","JPN","jmilk",0.0183522047118323
"cmilk","KAZ","jbeef",0.0813037254921803
"cmilk","KAZ","jpork",0.0813037254921803
"cmilk","KAZ","jlamb",0.0813037254921803
"cmilk","KAZ","jpoul",0.0813037254921803
"cmilk","KAZ","jeggs",0.0813037254921803
"cmilk","KAZ","jmilk",0.0813037254921803
"cmilk","KGZ","jbeef",0.107641574178371
"cmilk","KGZ","jpork",0.107641574178371
"cmilk","KGZ","jlamb",0.107641574178371
"cmilk","KGZ","jpoul",0.107641574178371
"cmilk","KGZ","jeggs",0.107641574178371
"cmilk","KGZ","jmilk",0.107641574178371
"cmilk","KHM","jbeef",0.00904432262927055
"cmilk","KHM","jpork",0.00904432262927055
"cmilk","KHM","jlamb",0.00904432262927055
"cmilk","KHM","jpoul",0.00904432262927055
"cmilk","KHM","jeggs",0.00904432262927055
"cmilk","KHM","jmilk",0.00904432262927055
"cmilk","LAO","jbeef",0.00904432262927055
"cmilk","LAO","jpork",0.00904432262927055
"cmilk","LAO","jlamb",0.00904432262927055
"cmilk","LAO","jpoul",0.00904432262927055
"cmilk","LAO","jeggs",0.00904432262927055
"cmilk","LAO","jmilk",0.00904432262927055
"cmilk","MDA","jbeef",0.0441474851592099
"cmilk","MDA","jpork",0.0441474851592099
"cmilk","MDA","jlamb",0.0441474851592099
"cmilk","MDA","jpoul",0.0441474851592099
"cmilk","MDA","jeggs",0.0441474851592099
"cmilk","MDA","jmilk",0.0441474851592099
"cmilk","MNG","jbeef",0.0954990593037009
"cmilk","MNG","jpork",0.0954990593037009
"cmilk","MNG","jlamb",0.0954990593037009
"cmilk","MNG","jpoul",0.0954990593037009
"cmilk","MNG","jeggs",0.0954990593037009
"cmilk","MNG","jmilk",0.0954990593037009
"cmilk","MOR","jbeef",0.147754320591454
"cmilk","MOR","jpork",0.147754320591454
"cmilk","MOR","jlamb",0.147754320591454
"cmilk","MOR","jpoul",0.147754320591454
"cmilk","MOR","jeggs",0.147754320591454
"cmilk","MOR","jmilk",0.147754320591454
"cmilk","NLD","jbeef",0.0259900621806587
"cmilk","NLD","jpork",0.0259900621806587
"cmilk","NLD","jlamb",0.0259900621806587
"cmilk","NLD","jpoul",0.0259900621806587
"cmilk","NLD","jeggs",0.0259900621806587
"cmilk","NLD","jmilk",0.0259900621806587
"cmilk","NOR","jbeef",0.0294435210206856
"cmilk","NOR","jpork",0.0294435210206856
"cmilk","NOR","jlamb",0.0294435210206856
"cmilk","NOR","jpoul",0.0294435210206856
"cmilk","NOR","jeggs",0.0294435210206856
"cmilk","NOR","jmilk",0.0294435210206856
"cmilk","NZL","jbeef",0.00745916517321748
"cmilk","NZL","jpork",0.00745916517321748
"cmilk","NZL","jlamb",0.00745916517321748
"cmilk","NZL","jpoul",0.00745916517321748
"cmilk","NZL","jeggs",0.00745916517321748
"cmilk","NZL","jmilk",0.00745916517321748
"cmilk","OAO","jbeef",0.00425284920747378
"cmilk","OAO","jpork",0.00425284920747378
"cmilk","OAO","jlamb",0.00425284920747378
"cmilk","OAO","jpoul",0.00425284920747378
"cmilk","OAO","jeggs",0.00425284920747378
"cmilk","OAO","jmilk",0.00425284920747378
"cmilk","OBN","jbeef",0.0277740338492647
"cmilk","OBN","jpork",0.0277740338492647
"cmilk","OBN","jlamb",0.0277740338492647
"cmilk","OBN","jpoul",0.0277740338492647
"cmilk","OBN","jeggs",0.0277740338492647
"cmilk","OBN","jmilk",0.0277740338492647
"cmilk","OIO","jbeef",0.00425284920747378
"cmilk","OIO","jpork",0.00425284920747378
"cmilk","OIO","jlamb",0.00425284920747378
"cmilk","OIO","jpoul",0.00425284920747378
"cmilk","OIO","jeggs",0.00425284920747378
"cmilk","OIO","jmilk",0.00425284920747378
"cmilk","OPO","jbeef",0.00425284920747378
"cmilk","OPO","jpork",0.00425284920747378
"cmilk","OPO","jlamb",0.00425284920747378
"cmilk","OPO","jpoul",0.00425284920747378
"cmilk","OPO","jeggs",0.00425284920747378
"cmilk","OPO","jmilk",0.00425284920747378
"cmilk","PAK","jbeef",0.0564495318190393
"cmilk","PAK","jpork",0.0564495318190393
"cmilk","PAK","jlamb",0.0564495318190393
"cmilk","PAK","jpoul",0.0564495318190393
"cmilk","PAK","jeggs",0.0564495318190393
"cmilk","PAK","jmilk",0.0564495318190393
"cmilk","PER","jbeef",0.00510011030810009
"cmilk","PER","jpork",0.00510011030810009
"cmilk","PER","jlamb",0.00510011030810009
"cmilk","PER","jpoul",0.00510011030810009
"cmilk","PER","jeggs",0.00510011030810009
"cmilk","PER","jmilk",0.00510011030810009
"cmilk","POL","jbeef",0.058364094272005
"cmilk","POL","jpork",0.058364094272005
"cmilk","POL","jlamb",0.058364094272005
"cmilk","POL","jpoul",0.058364094272005
"cmilk","POL","jeggs",0.058364094272005
"cmilk","POL","jmilk",0.058364094272005
"cmilk","PRT","jbeef",0.0272437605279647
"cmilk","PRT","jpork",0.0272437605279647
"cmilk","PRT","jlamb",0.0272437605279647
"cmilk","PRT","jpoul",0.0272437605279647
"cmilk","PRT","jeggs",0.0272437605279647
"cmilk","PRT","jmilk",0.0272437605279647
"cmilk","ROU","jbeef",0.0441474851592099
"cmilk","ROU","jpork",0.0441474851592099
"cmilk","ROU","jlamb",0.0441474851592099
"cmilk","ROU","jpoul",0.0441474851592099
"cmilk","ROU","jeggs",0.0441474851592099
"cmilk","ROU","jmilk",0.0441474851592099
"cmilk","RUS","jbeef",0.142069999961045
"cmilk","RUS","jpork",0.142069999961045
"cmilk","RUS","jlamb",0.142069999961045
"cmilk","RUS","jpoul",0.142069999961045
"cmilk","RUS","jeggs",0.142069999961045
"cmilk","RUS","jmilk",0.142069999961045
"cmilk","SDN","jbeef",0.0115902687859294
"cmilk","SDN","jpork",0.0115902687859294
"cmilk","SDN","jlamb",0.0115902687859294
"cmilk","SDN","jpoul",0.0115902687859294
"cmilk","SDN","jeggs",0.0115902687859294
"cmilk","SDN","jmilk",0.0115902687859294
"cmilk","SLB","jbeef",0.00425284920747378
"cmilk","SLB","jpork",0.00425284920747378
"cmilk","SLB","jlamb",0.00425284920747378
"cmilk","SLB","jpoul",0.00425284920747378
"cmilk","SLB","jeggs",0.00425284920747378
"cmilk","SLB","jmilk",0.00425284920747378
"cmilk","SPP","jbeef",0.0272437605279647
"cmilk","SPP","jpork",0.0272437605279647
"cmilk","SPP","jlamb",0.0272437605279647
"cmilk","SPP","jpoul",0.0272437605279647
"cmilk","SPP","jeggs",0.0272437605279647
"cmilk","SPP","jmilk",0.0272437605279647
"cmilk","SVK","jbeef",0.0441474851592099
"cmilk","SVK","jpork",0.0441474851592099
"cmilk","SVK","jlamb",0.0441474851592099
"cmilk","SVK","jpoul",0.0441474851592099
"cmilk","SVK","jeggs",0.0441474851592099
"cmilk","SVK","jmilk",0.0441474851592099
"cmilk","SVN","jbeef",0.0277740338492647
"cmilk","SVN","jpork",0.0277740338492647
"cmilk","SVN","jlamb",0.0277740338492647
"cmilk","SVN","jpoul",0.0277740338492647
"cmilk","SVN","jeggs",0.0277740338492647
"cmilk","SVN","jmilk",0.0277740338492647
"cmilk","SWE","jbeef",0.0294435210206856
"cmilk","SWE","jpork",0.0294435210206856
"cmilk","SWE","jlamb",0.0294435210206856
"cmilk","SWE","jpoul",0.0294435210206856
"cmilk","SWE","jeggs",0.0294435210206856
"cmilk","SWE","jmilk",0.0294435210206856
"cmilk","TKM","jbeef",0.233547202174828
"cmilk","TKM","jpork",0.233547202174828
"cmilk","TKM","jlamb",0.233547202174828
"cmilk","TKM","jpoul",0.233547202174828
"cmilk","TKM","jeggs",0.233547202174828
"cmilk","TKM","jmilk",0.233547202174828
"cmilk","UKP","jbeef",0.0143967463628344
"cmilk","UKP","jpork",0.0143967463628344
"cmilk","UKP","jlamb",0.0143967463628344
"cmilk","UKP","jpoul",0.0143967463628344
"cmilk","UKP","jeggs",0.0143967463628344
"cmilk","UKP","jmilk",0.0143967463628344
"cmilk","UKR","jbeef",0.167612371925022
"cmilk","UKR","jpork",0.167612371925022
"cmilk","UKR","jlamb",0.167612371925022
"cmilk","UKR","jpoul",0.167612371925022
"cmilk","UKR","jeggs",0.167612371925022
"cmilk","UKR","jmilk",0.167612371925022
"cmilk","URY","jbeef",0.0716952884191986
"cmilk","URY","jpork",0.0716952884191986
"cmilk","URY","jlamb",0.0716952884191986
"cmilk","URY","jpoul",0.0716952884191986
"cmilk","URY","jeggs",0.0716952884191986
"cmilk","URY","jmilk",0.0716952884191986
"cmilk","USA","jbeef",0.00430698210604042
"cmilk","USA","jpork",0.00430698210604042
"cmilk","USA","jlamb",0.00430698210604042
"cmilk","USA","jpoul",0.00430698210604042
"cmilk","USA","jeggs",0.00430698210604042
"cmilk","USA","jmilk",0.00430698210604042
"cmilk","UZB","jbeef",0.0658928046525409
"cmilk","UZB","jpork",0.0658928046525409
"cmilk","UZB","jlamb",0.0658928046525409
"cmilk","UZB","jpoul",0.0658928046525409
"cmilk","UZB","jeggs",0.0658928046525409
"cmilk","UZB","jmilk",0.0658928046525409
"cmilk","VEN","jbeef",0.00011833348080599
"cmilk","VEN","jpork",0.00011833348080599
"cmilk","VEN","jlamb",0.00011833348080599
"cmilk","VEN","jpoul",0.00011833348080599
"cmilk","VEN","jeggs",0.00011833348080599
"cmilk","VEN","jmilk",0.00011833348080599
"cmilk","VUT","jbeef",0.00425284920747378
"cmilk","VUT","jpork",0.00425284920747378
"cmilk","VUT","jlamb",0.00425284920747378
"cmilk","VUT","jpoul",0.00425284920747378
"cmilk","VUT","jeggs",0.00425284920747378
"cmilk","VUT","jmilk",0.00425284920747378
"cbarl","AFG","jbeef",0.00442595622740515
"cbarl","AFG","jpork",0.00442595622740515
"cbarl","AFG","jlamb",0.00442595622740515
"cbarl","AFG","jpoul",0.00442595622740515
"cbarl","AFG","jeggs",0.00442595622740515
"cbarl","AFG","jmilk",0.00442595622740515
"cbarl","ALB","jbeef",0.670256795471464
"cbarl","ALB","jpork",0.386601934596558
"cbarl","ALB","jlamb",0.692869973001185
"cbarl","ALB","jpoul",0.464801393475774
"cbarl","ALB","jeggs",0.447496640596012
"cbarl","ALB","jmilk",0.0282417677765869
"cbarl","ARG","jbeef",0.0317264070676945
"cbarl","ARG","jpork",0.177570125955962
"cbarl","ARG","jlamb",0.0925562772400638
"cbarl","ARG","jpoul",0.111966397339092
"cbarl","ARG","jeggs",0.0367781268382075
"cbarl","ARG","jmilk",0.0187439224619628
"cbarl","ARM","jbeef",0.376143686944244
"cbarl","ARM","jpork",0.565488314149283
"cbarl","ARM","jlamb",0.354764719585652
"cbarl","ARM","jpoul",0.305551681697642
"cbarl","ARM","jeggs",0.296539612997699
"cbarl","ARM","jmilk",0.0262269436069586
"cbarl","AUS","jbeef",0.245415972284657
"cbarl","AUS","jpork",2.26306906290215
"cbarl","AUS","jlamb",0.399344080291774
"cbarl","AUS","jpoul",0.695449620065865
"cbarl","AUS","jeggs",2.42345077776221
"cbarl","AUS","jmilk",0.0372711770031348
"cbarl","AUT","jbeef",0.461580316666717
"cbarl","AUT","jpork",0.560041556757823
"cbarl","AUT","jlamb",0.714229342159279
"cbarl","AUT","jpoul",0.71978154946793
"cbarl","AUT","jeggs",0.967601884751552
"cbarl","AUT","jmilk",0.0516921510478307
"cbarl","AZE","jbeef",0.376143686944244
"cbarl","AZE","jpork",0.565488314149283
"cbarl","AZE","jlamb",0.354764719585652
"cbarl","AZE","jpoul",0.305551681697642
"cbarl","AZE","jeggs",0.296539612997699
"cbarl","AZE","jmilk",0.0262269436069586
"cbarl","BGD","jpoul",0.00179460815008074
"cbarl","BGD","jeggs",0.00126094835808305
"cbarl","BGD","jmilk",0.000283359181591696
"cbarl","BGR","jbeef",1.16428921718705
"cbarl","BGR","jpork",0.671558224900669
"cbarl","BGR","jlamb",1.20357010018902
"cbarl","BGR","jpoul",0.807396887601418
"cbarl","BGR","jeggs",0.777337159270247
"cbarl","BGR","jmilk",0.0490581907095052
"cbarl","BLR","jbeef",1.94768989434838
"cbarl","BLR","jpork",2.92812537620477
"cbarl","BLR","jlamb",1.83698858492536
"cbarl","BLR","jpoul",1.58216113495975
"cbarl","BLR","jeggs",1.53549621476224
"cbarl","BLR","jmilk",0.13580436092894
"cbarl","BLT","jbeef",1.94768989434838
"cbarl","BLT","jpork",2.92812537620477
"cbarl","BLT","jlamb",1.83698858492536
"cbarl","BLT","jpoul",1.58216113495975
"cbarl","BLT","jeggs",1.53549621476224
"cbarl","BLT","jmilk",0.13580436092894
"cbarl","BLX","jbeef",0.175280972686372
"cbarl","BLX","jpork",0.21267074281285
"cbarl","BLX","jlamb",0.271222167181838
"cbarl","BLX","jpoul",0.27333056795734
"cbarl","BLX","jeggs",0.367438110786859
"cbarl","BLX","jmilk",0.0196296293164009
"cbarl","BLZ","jbeef",0.00160055032992351
"cbarl","BLZ","jpork",0.00173048148806192
"cbarl","BLZ","jlamb",4.3666640690463E-5
"cbarl","BLZ","jpoul",0.00169017381973226
"cbarl","BLZ","jeggs",0.00315636525522357
"cbarl","BLZ","jmilk",0.000517129063002092
"cbarl","BOL","jbeef",0.0300318182780714
"cbarl","BOL","jpork",0.0324697728096595
"cbarl","BOL","jlamb",0.000819336070545494
"cbarl","BOL","jpoul",0.0317134625906945
"cbarl","BOL","jeggs",0.0592242468055489
"cbarl","BOL","jmilk",0.0097031163319496
"cbarl","BRA","jbeef",0.00958585395292462
"cbarl","BRA","jpork",0.0124116388969728
"cbarl","BRA","jpoul",0.00932458299310688
"cbarl","BRA","jeggs",0.00469780405419857
"cbarl","BRA","jmilk",0.00165133393049853
"cbarl","BTN","jbeef",1.23005302446063E-5
"cbarl","BTN","jpork",1.23005302446063E-5
"cbarl","BTN","jlamb",1.23005302446063E-5
"cbarl","BTN","jpoul",1.23005302446063E-5
"cbarl","BTN","jeggs",1.23005302446063E-5
"cbarl","BTN","jmilk",1.23005302446063E-5
"cbarl","BWA","jpork",0.0197192722306852
"cbarl","BWA","jpoul",0.00731444848345007
"cbarl","BWA","jeggs",0.00822559085509091
"cbarl","BWA","jmilk",0.000639065135664755
"cbarl","CAN","jbeef",2.12776567904971
"cbarl","CAN","jpork",3.05597888566109
"cbarl","CAN","jlamb",0.60548943596726
"cbarl","CAN","jpoul",1.48257876392047
"cbarl","CAN","jeggs",1.75823893711994
"cbarl","CAN","jmilk",0.193905862278453
"cbarl","CHL","jbeef",0.0947895432470974
"cbarl","CHL","jpork",0.102484468488276
"cbarl","CHL","jlamb",0.00258607358281693
"cbarl","CHL","jpoul",0.100097323642599
"cbarl","CHL","jeggs",0.186929717404106
"cbarl","CHL","jmilk",0.0306259833041991
"cbarl","CHM","jpork",0.00686960130376172
"cbarl","CHM","jpoul",0.0209893548908632
"cbarl","CHM","jeggs",0.0226919924632855
"cbarl","CHM","jmilk",0.00043632138175755
"cbarl","CHP","jbeef",0.461580316666717
"cbarl","CHP","jpork",0.560041556757823
"cbarl","CHP","jlamb",0.714229342159279
"cbarl","CHP","jpoul",0.71978154946793
"cbarl","CHP","jeggs",0.967601884751552
"cbarl","CHP","jmilk",0.0516921510478307
"cbarl","COL","jbeef",0.00123965750342788
"cbarl","COL","jpork",0.00229387401311216
"cbarl","COL","jlamb",0.001366047454471
"cbarl","COL","jpoul",0.00385116396727629
"cbarl","COL","jeggs",0.00166233865117865
"cbarl","COL","jmilk",0.000750051840616569
"cbarl","CRB","jbeef",0.0528278917738196
"cbarl","CRB","jpork",0.113406037202618
"cbarl","CRB","jlamb",0.00371291221610606
"cbarl","CRB","jpoul",0.117984094012768
"cbarl","CRB","jeggs",0.0421577751139421
"cbarl","CRB","jmilk",0.0227280694393676
"cbarl","CRI","jbeef",0.00160055032992351
"cbarl","CRI","jpork",0.00173048148806192
"cbarl","CRI","jlamb",4.3666640690463E-5
"cbarl","CRI","jpoul",0.00169017381973226
"cbarl","CRI","jeggs",0.00315636525522357
"cbarl","CRI","jmilk",0.000517129063002092
"cbarl","CUB","jbeef",0.00160055032992351
"cbarl","CUB","jpork",0.00173048148806192
"cbarl","CUB","jlamb",4.3666640690463E-5
"cbarl","CUB","jpoul",0.00169017381973226
"cbarl","CUB","jeggs",0.00315636525522357
"cbarl","CUB","jmilk",0.000517129063002092
"cbarl","CYP","jbeef",0.441272961262627
"cbarl","CYP","jpork",2.87008026245592
"cbarl","CYP","jlamb",1.69889568116675
"cbarl","CYP","jpoul",1.36954340638855
"cbarl","CYP","jeggs",3.45933155884742
"cbarl","CYP","jmilk",0.312951995096547
"cbarl","CZE","jbeef",1.16428921718705
"cbarl","CZE","jpork",0.671558224900669
"cbarl","CZE","jlamb",1.20357010018902
"cbarl","CZE","jpoul",0.807396887601418
"cbarl","CZE","jeggs",0.777337159270247
"cbarl","CZE","jmilk",0.0490581907095052
"cbarl","DEU","jbeef",0.731175814639212
"cbarl","DEU","jpork",0.887145371473637
"cbarl","DEU","jlamb",1.131389711034
"cbarl","DEU","jpoul",1.14018479946252
"cbarl","DEU","jeggs",1.53274970960361
"cbarl","DEU","jmilk",0.0818840173380734
"cbarl","DNK","jbeef",1.29051761423337
"cbarl","DNK","jpork",1.565802239831
"cbarl","DNK","jlamb",1.99689092748813
"cbarl","DNK","jpoul",2.01241416596032
"cbarl","DNK","jeggs",2.70528709901404
"cbarl","DNK","jmilk",0.144524428438757
"cbarl","DOM","jbeef",0.00160055032992351
"cbarl","DOM","jpork",0.00173048148806192
"cbarl","DOM","jlamb",4.3666640690463E-5
"cbarl","DOM","jpoul",0.00169017381973226
"cbarl","DOM","jeggs",0.00315636525522357
"cbarl","DOM","jmilk",0.000517129063002092
"cbarl","DZA","jbeef",0.140745085536144
