"CTY","JJJ","Val"
"AGO","jtemf",-0.07
"AGO","jvege",-0.07
"AGO","jsugr",0.3
"AGO","jgrnd",-0.0522
"AGO","jgdnt",-0.0522
"AGO","jgdol",-0.07
"AGO","jgdml",-0.07
"AGO","jrpol",-0.07
"AGO","jrpml",-0.07
"AGO","jsbol",-0.07
"AGO","jsbml",-0.07
"AGO","jsfol",-0.07
"AGO","jsfml",-0.07
"AGO","jplol",-0.07
"AGO","jpkol",-0.07
"AGO","jpkml",-0.07
"AGO","jtool",-0.07
"AGO","jtoml",-0.07
"AGO","jcoco",-0.07
"AGO","jcafe",-0.07
"AGO","jcott",-0.1447
"AGO","jteas",-0.07
"AGO","jothr",-0.0522
"AGO","Shrimp",-0.162815266619631
"AGO","Crust",-0.162815266619631
"AGO","Salmon",-0.163750199139716
"AGO","Tuna",-0.1646851316598
"AGO","Cobswf",-0.165152597919843
"AGO","Eelstg",-0.165620064179885
"AGO","Tilapia",-0.166087530439927
"AGO","Pangas",-0.16655499669997
"AGO","Carp",-0.167022462960012
"AGO","Mullet",-0.167489929220054
"AGO","OFrshD",-0.167957395480097
"AGO","OCarp",-0.168424861740139
"AGO","OPelag",-0.168892328000181
"AGO","OMarn",-0.169359794260224
"ALB","jbeef",0.14
"ALB","jpork",0.1
"ALB","jlamb",0.06
"ALB","jpoul",0.21
"ALB","jeggs",0.44
"ALB","jmilk",0.29
"ALB","jwhea",0.02
"ALB","jgdol",-0.09
"ALB","jgdml",-0.09
"ALB","jrpol",-0.09
"ALB","jrpml",-0.09
"ALB","jsbol",-0.09
"ALB","jsbml",-0.09
"ALB","jsfol",-0.09
"ALB","jsfml",-0.09
"ALB","jplol",-0.09
"ALB","jpkol",-0.09
"ALB","jpkml",-0.09
"ALB","jtool",-0.09
"ALB","jtoml",-0.09
"ALB","Shrimp",-0.125885432076287
"ALB","Crust",-0.125885432076287
"ALB","Salmon",-0.126820364596372
"ALB","Tuna",-0.127755297116456
"ALB","Cobswf",-0.128222763376499
"ALB","Eelstg",-0.128690229636541
"ALB","Tilapia",-0.129157695896583
"ALB","Pangas",-0.129625162156626
"ALB","Carp",-0.130092628416668
"ALB","Mullet",-0.13056009467671
"ALB","OFrshD",-0.131027560936753
"ALB","OCarp",-0.131495027196795
"ALB","OPelag",-0.131962493456837
"ALB","OMarn",-0.13242995971688
"ARG","jbeef",0.07
"ARG","jpork",-0.01
"ARG","jpoul",-0.01
"ARG","jeggs",-0.01
"ARG","jmilk",-0.01
"ARG","jmaiz",0.05
"ARG","jwhea",0.04
"ARG","jbean",0.0895
"ARG","jchkp",0.0895
"ARG","jcowp",0.0895
"ARG","jlent",0.0895
"ARG","jpigp",0.0895
"ARG","jopul",0.0895
"ARG","jbana",0.12
"ARG","jplnt",0.12
"ARG","jsubf",0.12
"ARG","jtemf",0.12
"ARG","jvege",0.12
"ARG","jsugr",0.2
"ARG","jgrnd",0.0895
"ARG","jgdnt",0.0895
"ARG","jrpsd",0.01
"ARG","jrpnt",0.01
"ARG","jsoyb",0.01
"ARG","jsbnt",0.01
"ARG","jsnfl",0.01
"ARG","jsfnt",0.01
"ARG","jpalm",0.01
"ARG","jpkrl",0.01
"ARG","jtols",0.01
"ARG","jtont",0.01
"ARG","jcoco",0.12
"ARG","jcafe",0.12
"ARG","jcott",0.2481
"ARG","jteas",0.12
"ARG","jothr",0.0895
"ARG","Shrimp",-0.0884881312729009
"ARG","Crust",-0.0884881312729009
"ARG","Salmon",-0.089423063792985
"ARG","Tuna",-0.09035799631307
"ARG","Cobswf",-0.0908254625731119
"ARG","Eelstg",-0.091292928833155
"ARG","Tilapia",-0.0917603950931969
"ARG","Pangas",-0.092227861353239
"ARG","Carp",-0.0926953276132819
"ARG","Mullet",-0.093162793873324
"ARG","OFrshD",-0.093630260133366
"ARG","OCarp",-0.094097726393409
"ARG","OPelag",-0.094565192653451
"ARG","OMarn",-0.0950326589134929
"ARM","jbeef",0.39
"ARM","jpork",0.38
"ARM","jlamb",0.38
"ARM","jpoul",0.38
"ARM","jeggs",0.23
"ARM","jmilk",0.45
"ARM","jrice",-0.03
"ARM","jwhea",-0.15
"ARM","jgdol",-0.04
"ARM","jgdml",-0.04
"ARM","jrpol",-0.04
"ARM","jrpml",-0.04
"ARM","jsbol",-0.04
"ARM","jsbml",-0.04
"ARM","jsfol",-0.04
"ARM","jsfml",-0.04
"ARM","jplol",-0.04
"ARM","jpkol",-0.04
"ARM","jpkml",-0.04
"ARM","jtool",-0.04
"ARM","jtoml",-0.04
"ARM","Shrimp",-0.125885432076287
"ARM","Crust",-0.125885432076287
"ARM","Salmon",-0.126820364596372
"ARM","Tuna",-0.127755297116456
"ARM","Cobswf",-0.128222763376499
"ARM","Eelstg",-0.128690229636541
"ARM","Tilapia",-0.129157695896583
"ARM","Pangas",-0.129625162156626
"ARM","Carp",-0.130092628416668
"ARM","Mullet",-0.13056009467671
"ARM","OFrshD",-0.131027560936753
"ARM","OCarp",-0.131495027196795
"ARM","OPelag",-0.131962493456837
"ARM","OMarn",-0.13242995971688
"AUS","jmilk",0.000287194226509913
"AUS","jgdol",0.03
"AUS","jrpol",0.03
"AUS","jsbol",0.03
"AUS","jsfol",0.03
"AUS","jpkol",0.03
"AUS","jtool",0.03
"AUS","Shrimp",-0.181513917021324
"AUS","Crust",-0.181513917021324
"AUS","Salmon",-0.182448849541409
"AUS","Tuna",-0.183383782061494
"AUS","Cobswf",-0.183851248321536
"AUS","Eelstg",-0.184318714581578
"AUS","Tilapia",-0.184786180841621
"AUS","Pangas",-0.185253647101663
"AUS","Carp",-0.185721113361705
"AUS","Mullet",-0.186188579621748
"AUS","OFrshD",-0.18665604588179
"AUS","OCarp",-0.187123512141832
"AUS","OPelag",-0.187590978401875
"AUS","OMarn",-0.188058444661917
"AUT","jbeef",0.13197405604212
"AUT","jpork",0.01713498502693
"AUT","jlamb",0.14140443815786
"AUT","jpoul",0.40014588781909
"AUT","jeggs",0.00805424075428007
"AUT","jmilk",0.00859085347854993
"AUT","jbarl",7.15169784992753E-6
"AUT","jmaiz",7.69392840993532E-6
"AUT","jmill",0.58
"AUT","jrice",0.01071406139431
"AUT","jwhea",6.79887847621075E-6
"AUT","jocer",1.04671390899203E-5
"AUT","jpota",0.10451378489025
"AUT","jtemf",0.0698634573396599
"AUT","jsugc",0.00257735710249007
"AUT","jsugb",0.00257735710249007
"AUT","jsugr",0.00257735710249007
"AUT","jsugrc",0.00257735710249007
"AUT","jsugrb",0.00257735710249007
"AUT","jgdol",0.48
"AUT","jgdml",0.48
"AUT","jrpsd",0.000331113845019937
"AUT","jrpnt",0.000331113845019937
"AUT","jrpol",0.48
"AUT","jrpml",0.48
"AUT","jsoyb",0.000278732293869988
"AUT","jsbnt",0.000278732293869988
"AUT","jsbol",0.48
"AUT","jsbml",0.48
"AUT","jsnfl",0.000346721511260029
"AUT","jsfnt",0.000346721511260029
"AUT","jsfol",0.48
"AUT","jsfml",0.48
"AUT","jpalm",0.5
"AUT","jpkrl",0.5
"AUT","jpkol",0.48
"AUT","jpkml",0.48
"AUT","jtool",0.48
"AUT","jtoml",0.48
"AUT","Shrimp",-0.116536106875441
"AUT","Crust",-0.116536106875441
"AUT","Salmon",-0.117471039395525
"AUT","Tuna",-0.11840597191561
"AUT","Cobswf",-0.118873438175652
"AUT","Eelstg",-0.119340904435694
"AUT","Tilapia",-0.119808370695737
"AUT","Pangas",-0.120275836955779
"AUT","Carp",-0.120743303215821
"AUT","Mullet",-0.121210769475864
"AUT","OFrshD",-0.121678235735906
"AUT","OCarp",-0.122145701995948
"AUT","OPelag",-0.122613168255991
"AUT","OMarn",-0.123080634516033
"AZE","jbeef",0.39
"AZE","jpork",0.38
"AZE","jlamb",0.38
"AZE","jpoul",0.38
"AZE","jeggs",0.23
"AZE","jmilk",0.45
"AZE","jrice",-0.03
"AZE","jwhea",-0.15
"AZE","jgdol",-0.04
"AZE","jgdml",-0.04
"AZE","jrpol",-0.04
"AZE","jrpml",-0.04
"AZE","jsbol",-0.04
"AZE","jsbml",-0.04
"AZE","jsfol",-0.04
"AZE","jsfml",-0.04
"AZE","jplol",-0.04
"AZE","jpkol",-0.04
"AZE","jpkml",-0.04
"AZE","jtool",-0.04
"AZE","jtoml",-0.04
"AZE","Shrimp",-0.125885432076287
"AZE","Crust",-0.125885432076287
"AZE","Salmon",-0.126820364596372
"AZE","Tuna",-0.127755297116456
"AZE","Cobswf",-0.128222763376499
"AZE","Eelstg",-0.128690229636541
"AZE","Tilapia",-0.129157695896583
"AZE","Pangas",-0.129625162156626
"AZE","Carp",-0.130092628416668
"AZE","Mullet",-0.13056009467671
"AZE","OFrshD",-0.131027560936753
"AZE","OCarp",-0.131495027196795
"AZE","OPelag",-0.131962493456837
"AZE","OMarn",-0.13242995971688
"BDI","jbeef",0.5
"BDI","jpork",0.3
"BDI","jlamb",-0.5
"BDI","jpoul",0.3
"BDI","jeggs",0.1
"BDI","jmilk",-0.1
"BDI","jbarl",-0.06
"BDI","jmaiz",-0.06
"BDI","jmill",-0.06
"BDI","jrice",0.3
"BDI","jsorg",-0.06
"BDI","jwhea",-0.23
"BDI","jocer",-0.06
"BDI","jbean",-0.0969
"BDI","jchkp",-0.0969
"BDI","jcowp",-0.0969
"BDI","jlent",-0.0969
"BDI","jpigp",-0.0969
"BDI","jopul",-0.0969
"BDI","jbana",-0.13
"BDI","jplnt",-0.13
"BDI","jsubf",-0.13
"BDI","jtemf",-0.13
"BDI","jvege",-0.13
"BDI","jsugr",0.3
"BDI","jgrnd",-0.0969
"BDI","jgdnt",-0.0969
"BDI","jgdol",-0.07
"BDI","jgdml",-0.02
"BDI","jrpol",-0.07
"BDI","jrpml",-0.02
"BDI","jsbol",-0.07
"BDI","jsbml",-0.02
"BDI","jsfol",-0.07
"BDI","jsfml",-0.02
"BDI","jplol",-0.07
"BDI","jpkol",-0.07
"BDI","jpkml",-0.02
"BDI","jtool",-0.07
"BDI","jtoml",-0.02
"BDI","jcoco",-0.13
"BDI","jcafe",-0.13
"BDI","jcott",-0.2688
"BDI","jteas",-0.13
"BDI","jothr",-0.0969
"BDI","Shrimp",-0.172164591820478
"BDI","Crust",-0.172164591820478
"BDI","Salmon",-0.173099524340562
"BDI","Tuna",-0.174034456860647
"BDI","Cobswf",-0.174501923120689
"BDI","Eelstg",-0.174969389380732
"BDI","Tilapia",-0.175436855640774
"BDI","Pangas",-0.175904321900816
"BDI","Carp",-0.176371788160859
"BDI","Mullet",-0.176839254420901
"BDI","OFrshD",-0.177306720680943
"BDI","OCarp",-0.177774186940986
"BDI","OPelag",-0.178241653201028
"BDI","OMarn",-0.17870911946107
"BEN","jbeef",0.43
"BEN","jpork",0.28
"BEN","jlamb",0.28
"BEN","jpoul",0.1
"BEN","jeggs",0.1
"BEN","jbarl",-0.23
"BEN","jmaiz",-0.23
"BEN","jmill",-0.23
"BEN","jrice",0.41
"BEN","jsorg",-0.23
"BEN","jwhea",-0.2
"BEN","jocer",-0.23
"BEN","jbean",-0.0969
"BEN","jchkp",-0.0969
"BEN","jcowp",-0.0969
"BEN","jlent",-0.0969
"BEN","jpigp",-0.0969
"BEN","jopul",-0.0969
"BEN","jbana",-0.13
"BEN","jplnt",-0.13
"BEN","jsubf",-0.13
"BEN","jtemf",-0.13
"BEN","jvege",-0.13
"BEN","jsugr",0.3
"BEN","jgrnd",-0.0969
"BEN","jgdnt",-0.0969
"BEN","jgdol",-0.07
"BEN","jgdml",-0.07
"BEN","jrpol",-0.07
"BEN","jrpml",-0.07
"BEN","jsbol",-0.07
"BEN","jsbml",-0.07
"BEN","jsfol",-0.07
"BEN","jsfml",-0.07
"BEN","jplol",-0.07
"BEN","jpkol",-0.07
"BEN","jpkml",-0.07
"BEN","jtool",-0.07
"BEN","jtoml",-0.07
"BEN","jcoco",-0.13
"BEN","jcafe",-0.13
"BEN","jcott",-0.2688
"BEN","jteas",-0.13
"BEN","jothr",-0.0969
"BEN","Shrimp",-0.153465941418785
"BEN","Crust",-0.153465941418785
"BEN","Salmon",-0.154400873938869
"BEN","Tuna",-0.155335806458954
"BEN","Cobswf",-0.155803272718996
"BEN","Eelstg",-0.156270738979039
"BEN","Tilapia",-0.156738205239081
"BEN","Pangas",-0.157205671499123
"BEN","Carp",-0.157673137759166
"BEN","Mullet",-0.158140604019208
"BEN","OFrshD",-0.15860807027925
"BEN","OCarp",-0.159075536539293
"BEN","OPelag",-0.159543002799335
"BEN","OMarn",-0.160010469059377
"BFA","jbeef",0.28
"BFA","jpork",0.08
"BFA","jlamb",0.16
"BFA","jpoul",0.08
"BFA","jbarl",-0.17
"BFA","jmaiz",-0.17
"BFA","jmill",-0.17
"BFA","jrice",-0.34
"BFA","jsorg",-0.17
"BFA","jwhea",-0.29
"BFA","jocer",-0.17
"BFA","jbean",-0.1044
"BFA","jchkp",-0.1044
"BFA","jcowp",-0.1044
"BFA","jlent",-0.1044
"BFA","jpigp",-0.1044
"BFA","jopul",-0.1044
"BFA","jbana",-0.14
"BFA","jplnt",-0.14
"BFA","jsubf",-0.14
"BFA","jtemf",-0.14
"BFA","jvege",-0.14
"BFA","jsugr",0.3
"BFA","jgrnd",-0.1044
"BFA","jgdnt",-0.1044
"BFA","jgdol",-0.03
"BFA","jgdml",-0.03
"BFA","jrpol",-0.03
"BFA","jrpml",-0.03
"BFA","jsbol",-0.03
"BFA","jsbml",-0.03
"BFA","jsfol",-0.03
"BFA","jsfml",-0.03
"BFA","jplol",-0.03
"BFA","jpkol",-0.03
"BFA","jpkml",-0.03
"BFA","jtool",-0.03
"BFA","jtoml",-0.03
"BFA","jcoco",-0.14
"BFA","jcafe",-0.14
"BFA","jcott",-0.2895
"BFA","jteas",-0.14
"BFA","jothr",-0.1044
"BFA","Shrimp",-0.153465941418785
"BFA","Crust",-0.153465941418785
"BFA","Salmon",-0.154400873938869
"BFA","Tuna",-0.155335806458954
"BFA","Cobswf",-0.155803272718996
"BFA","Eelstg",-0.156270738979039
"BFA","Tilapia",-0.156738205239081
"BFA","Pangas",-0.157205671499123
"BFA","Carp",-0.157673137759166
"BFA","Mullet",-0.158140604019208
"BFA","OFrshD",-0.15860807027925
"BFA","OCarp",-0.159075536539293
"BFA","OPelag",-0.159543002799335
"BFA","OMarn",-0.160010469059377
"BGD","jmaiz",0.2
"BGD","jrice",0.2
"BGD","jwhea",-0.01
"BGD","jbean",0.0746
"BGD","jchkp",0.0746
"BGD","jcowp",0.0746
"BGD","jlent",0.0746
"BGD","jpigp",0.0746
"BGD","jopul",0.0746
"BGD","jbana",0.1
"BGD","jplnt",0.1
"BGD","jsubf",0.1
"BGD","jtemf",0.1
"BGD","jvege",0.1
"BGD","jsugr",0.3
"BGD","jgrnd",0.0746
"BGD","jgdnt",0.0746
"BGD","jgdol",-0.06
"BGD","jrpol",-0.06
"BGD","jsbol",-0.06
"BGD","jsfol",-0.06
"BGD","jplol",-0.06
"BGD","jpkol",-0.06
"BGD","jtool",-0.06
"BGD","jcoco",0.1
"BGD","jcafe",0.1
"BGD","jcott",0.2068
"BGD","jteas",0.1
"BGD","jothr",0.0746
"BGD","Shrimp",0.00500512073556526
"BGD","Crust",0.00500512073556526
"BGD","Salmon",0.00407018821548066
"BGD","Tuna",0.00313525569539596
"BGD","Cobswf",0.00266778943535366
"BGD","Eelstg",0.00220032317531126
"BGD","Tilapia",0.00173285691526896
"BGD","Pangas",0.00126539065522666
"BGD","Carp",0.000797924395184356
"BGD","Mullet",0.000330458135141952
"BGD","OFrshD",-0.000137008124900348
"BGD","OCarp",-0.000604474384942648
"BGD","OPelag",-0.00107194064498504
"BGD","OMarn",-0.00153940690502734
"BGR","jbeef",0.13197405604212
"BGR","jpork",0.01713498502693
"BGR","jlamb",0.14140443815786
"BGR","jpoul",0.40014588781909
"BGR","jeggs",0.00805424075428007
"BGR","jmilk",0.00859085347854993
"BGR","jbarl",7.15169784992753E-6
"BGR","jmaiz",7.69392840993532E-6
"BGR","jrice",0.01071406139431
"BGR","jwhea",6.79887847621075E-6
"BGR","jocer",1.04671390899203E-5
"BGR","jpota",0.10451378489025
"BGR","jtemf",0.0698634573396599
"BGR","jsugc",0.00257735710249007
"BGR","jsugb",0.00257735710249007
"BGR","jsugr",0.00257735710249007
"BGR","jsugrc",0.00257735710249007
"BGR","jsugrb",0.00257735710249007
"BGR","jgdol",-0.09
"BGR","jgdml",-0.09
"BGR","jrpsd",0.000331113845019937
"BGR","jrpnt",0.000331113845019937
"BGR","jrpol",-0.09
"BGR","jrpml",-0.09
"BGR","jsoyb",0.000278732293869988
"BGR","jsbnt",0.000278732293869988
"BGR","jsbol",-0.09
"BGR","jsbml",-0.09
"BGR","jsnfl",0.000346721511260029
"BGR","jsfnt",0.000346721511260029
"BGR","jsfol",-0.09
"BGR","jsfml",-0.09
"BGR","jpkol",-0.09
"BGR","jpkml",-0.09
"BGR","jtool",-0.09
"BGR","jtoml",-0.09
"BGR","Shrimp",-0.125885432076287
"BGR","Crust",-0.125885432076287
"BGR","Salmon",-0.126820364596372
"BGR","Tuna",-0.127755297116456
"BGR","Cobswf",-0.128222763376499
"BGR","Eelstg",-0.128690229636541
"BGR","Tilapia",-0.129157695896583
"BGR","Pangas",-0.129625162156626
"BGR","Carp",-0.130092628416668
"BGR","Mullet",-0.13056009467671
"BGR","OFrshD",-0.131027560936753
"BGR","OCarp",-0.131495027196795
"BGR","OPelag",-0.131962493456837
"BGR","OMarn",-0.13242995971688
"BLR","jbeef",0.39
"BLR","jpork",0.38
"BLR","jlamb",0.38
"BLR","jpoul",0.38
"BLR","jeggs",0.23
"BLR","jmilk",0.45
"BLR","jrice",-0.03
"BLR","jwhea",-0.15
"BLR","jgdol",-0.04
"BLR","jgdml",-0.04
"BLR","jrpol",-0.04
"BLR","jrpml",-0.04
"BLR","jsbol",-0.04
"BLR","jsbml",-0.04
"BLR","jsfol",-0.04
"BLR","jsfml",-0.04
"BLR","jplol",-0.04
"BLR","jpkol",-0.04
"BLR","jpkml",-0.04
"BLR","jtool",-0.04
"BLR","jtoml",-0.04
"BLR","Shrimp",-0.125885432076287
"BLR","Crust",-0.125885432076287
"BLR","Salmon",-0.126820364596372
"BLR","Tuna",-0.127755297116456
"BLR","Cobswf",-0.128222763376499
"BLR","Eelstg",-0.128690229636541
"BLR","Tilapia",-0.129157695896583
"BLR","Pangas",-0.129625162156626
"BLR","Carp",-0.130092628416668
"BLR","Mullet",-0.13056009467671
"BLR","OFrshD",-0.131027560936753
"BLR","OCarp",-0.131495027196795
"BLR","OPelag",-0.131962493456837
"BLR","OMarn",-0.13242995971688
"BLT","jbeef",0.39
"BLT","jpork",0.38
"BLT","jlamb",0.38
"BLT","jpoul",0.38
"BLT","jeggs",0.23
"BLT","jmilk",0.45
"BLT","jrice",-0.03
"BLT","jwhea",-0.15
"BLT","jgdol",-0.04
"BLT","jgdml",-0.04
"BLT","jrpol",-0.04
"BLT","jrpml",-0.04
"BLT","jsbol",-0.04
"BLT","jsbml",-0.04
"BLT","jsfol",-0.04
"BLT","jsfml",-0.04
"BLT","jplol",-0.04
"BLT","jpkol",-0.04
"BLT","jpkml",-0.04
"BLT","jtool",-0.04
"BLT","jtoml",-0.04
"BLT","Shrimp",-0.125885432076287
"BLT","Crust",-0.125885432076287
"BLT","Salmon",-0.126820364596372
"BLT","Tuna",-0.127755297116456
"BLT","Cobswf",-0.128222763376499
"BLT","Eelstg",-0.128690229636541
"BLT","Tilapia",-0.129157695896583
"BLT","Pangas",-0.129625162156626
"BLT","Carp",-0.130092628416668
"BLT","Mullet",-0.13056009467671
"BLT","OFrshD",-0.131027560936753
"BLT","OCarp",-0.131495027196795
"BLT","OPelag",-0.131962493456837
"BLT","OMarn",-0.13242995971688
"BLX","jbeef",0.13197405604212
"BLX","jpork",0.01713498502693
"BLX","jlamb",0.14140443815786
"BLX","jpoul",0.40014588781909
"BLX","jeggs",0.00805424075428007
"BLX","jmilk",0.00859085347854993
"BLX","jbarl",7.15169784992753E-6
"BLX","jmaiz",7.69392840993532E-6
"BLX","jmill",0.58
"BLX","jrice",0.01071406139431
"BLX","jwhea",6.79887847621075E-6
"BLX","jocer",1.04671390899203E-5
"BLX","jpota",0.10451378489025
"BLX","jtemf",0.0698634573396599
"BLX","jsugc",0.00257735710249007
"BLX","jsugb",0.00257735710249007
"BLX","jsugr",0.00257735710249007
"BLX","jsugrc",0.00257735710249007
"BLX","jsugrb",0.00257735710249007
"BLX","jgdol",0.48
"BLX","jgdml",0.48
"BLX","jrpsd",0.000331113845019937
"BLX","jrpnt",0.000331113845019937
"BLX","jrpol",0.48
"BLX","jrpml",0.48
"BLX","jsoyb",0.000278732293869988
"BLX","jsbnt",0.000278732293869988
"BLX","jsbol",0.48
"BLX","jsbml",0.48
"BLX","jsnfl",0.000346721511260029
"BLX","jsfnt",0.000346721511260029
"BLX","jsfol",0.48
"BLX","jsfml",0.48
"BLX","jpalm",0.5
"BLX","jpkrl",0.5
"BLX","jpkol",0.48
"BLX","jpkml",0.48
"BLX","jtool",0.48
"BLX","jtoml",0.48
"BLX","Shrimp",-0.116536106875441
"BLX","Crust",-0.116536106875441
"BLX","Salmon",-0.117471039395525
"BLX","Tuna",-0.11840597191561
"BLX","Cobswf",-0.118873438175652
"BLX","Eelstg",-0.119340904435694
"BLX","Tilapia",-0.119808370695737
"BLX","Pangas",-0.120275836955779
"BLX","Carp",-0.120743303215821
"BLX","Mullet",-0.121210769475864
"BLX","OFrshD",-0.121678235735906
"BLX","OCarp",-0.122145701995948
"BLX","OPelag",-0.122613168255991
"BLX","OMarn",-0.123080634516033
"BLZ","jbeef",-0.22
"BLZ","jpork",-0.07
"BLZ","jlamb",-0.09
"BLZ","jpoul",-0.07
"BLZ","jmilk",-0.42
"BLZ","jmaiz",-0.04
"BLZ","jrice",-0.01
"BLZ","jwhea",-0.45
"BLZ","jbean",0.1864
"BLZ","jchkp",0.1864
"BLZ","jcowp",0.1864
"BLZ","jlent",0.1864
"BLZ","jpigp",0.1864
"BLZ","jopul",0.1864
"BLZ","jbana",0.25
"BLZ","jplnt",0.25
"BLZ","jsubf",0.25
"BLZ","jtemf",0.25
"BLZ","jvege",0.25
"BLZ","jsugr",0.2
"BLZ","jgrnd",0.1864
"BLZ","jgdnt",0.1864
"BLZ","jgdol",0.28
"BLZ","jgdml",0.28
"BLZ","jrpsd",0.16
"BLZ","jrpnt",0.16
"BLZ","jrpol",0.28
"BLZ","jrpml",0.28
"BLZ","jsoyb",0.16
"BLZ","jsbnt",0.16
"BLZ","jsbol",0.28
"BLZ","jsbml",0.28
"BLZ","jsnfl",0.16
"BLZ","jsfnt",0.16
"BLZ","jsfol",0.28
"BLZ","jsfml",0.28
"BLZ","jpalm",0.16
"BLZ","jplol",0.28
"BLZ","jpkrl",0.16
"BLZ","jpkol",0.28
"BLZ","jpkml",0.28
"BLZ","jtols",0.16
"BLZ","jtont",0.16
"BLZ","jtool",0.28
"BLZ","jtoml",0.28
"BLZ","jcoco",0.25
"BLZ","jcafe",0.25
"BLZ","jcott",0.5169
"BLZ","jteas",0.25
"BLZ","jothr",0.1864
"BLZ","Shrimp",-0.0978374564737469
"BLZ","Crust",-0.0978374564737469
"BLZ","Salmon",-0.0987723889938319
"BLZ","Tuna",-0.099707321513917
"BLZ","Cobswf",-0.100174787773959
"BLZ","Eelstg",-0.100642254034001
"BLZ","Tilapia",-0.101109720294044
"BLZ","Pangas",-0.101577186554086
"BLZ","Carp",-0.102044652814128
"BLZ","Mullet",-0.102512119074171
"BLZ","OFrshD",-0.102979585334213
"BLZ","OCarp",-0.103447051594255
"BLZ","OPelag",-0.103914517854298
"BLZ","OMarn",-0.10438198411434
"BOL","jbeef",-0.22
"BOL","jpork",-0.07
"BOL","jlamb",-0.09
"BOL","jpoul",-0.07
"BOL","jmilk",-0.42
"BOL","jmaiz",-0.04
"BOL","jrice",-0.01
"BOL","jwhea",-0.45
"BOL","jbean",0.1864
"BOL","jchkp",0.1864
"BOL","jcowp",0.1864
"BOL","jlent",0.1864
"BOL","jpigp",0.1864
"BOL","jopul",0.1864
"BOL","jbana",0.25
"BOL","jplnt",0.25
"BOL","jsubf",0.25
"BOL","jtemf",0.25
"BOL","jvege",0.25
"BOL","jsugr",0.2
"BOL","jgrnd",0.1864
"BOL","jgdnt",0.1864
"BOL","jgdol",0.28
"BOL","jgdml",0.28
"BOL","jrpsd",0.16
"BOL","jrpnt",0.16
"BOL","jrpol",0.28
"BOL","jrpml",0.28
"BOL","jsoyb",0.16
"BOL","jsbnt",0.16
"BOL","jsbol",0.28
"BOL","jsbml",0.28
"BOL","jsnfl",0.16
"BOL","jsfnt",0.16
"BOL","jsfol",0.28
"BOL","jsfml",0.28
"BOL","jpalm",0.16
"BOL","jplol",0.28
"BOL","jpkrl",0.16
"BOL","jpkol",0.28
"BOL","jpkml",0.28
"BOL","jtols",0.16
"BOL","jtont",0.16
"BOL","jtool",0.28
"BOL","jtoml",0.28
"BOL","jcoco",0.25
"BOL","jcafe",0.25
"BOL","jcott",0.5169
"BOL","jteas",0.25
"BOL","jothr",0.1864
"BOL","Shrimp",-0.0978374564737469
"BOL","Crust",-0.0978374564737469
"BOL","Salmon",-0.0987723889938319
"BOL","Tuna",-0.099707321513917
"BOL","Cobswf",-0.100174787773959
"BOL","Eelstg",-0.100642254034001
"BOL","Tilapia",-0.101109720294044
"BOL","Pangas",-0.101577186554086
"BOL","Carp",-0.102044652814128
"BOL","Mullet",-0.102512119074171
"BOL","OFrshD",-0.102979585334213
"BOL","OCarp",-0.103447051594255
"BOL","OPelag",-0.103914517854298
