"J","JJ","CTY","Val"
"jbeef","jbeef","MRT",0.33
"jbeef","jbeef","MWI",0.33
"jbeef","jbeef","MYS",0.44
"jbeef","jbeef","NAM",0.33
"jbeef","jbeef","NER",0.33
"jbeef","jbeef","NGA",0.275
"jbeef","jbeef","NIC",0.484
"jbeef","jbeef","NLD",0.385
"jbeef","jbeef","NOR",0.385
"jbeef","jbeef","NPL",0.352
"jbeef","jbeef","NZL",0.418
"jbeef","jbeef","OAO",0.275
"jbeef","jbeef","OBN",0.33
"jbeef","jbeef","OIO",0.275
"jbeef","jbeef","OPO",0.275
"jbeef","jbeef","OSA",0.165
"jbeef","jbeef","PAK",0.231
"jbeef","jbeef","PAN",0.484
"jbeef","jbeef","PER",0.484
"jbeef","jbeef","PHL",0.308
"jbeef","jbeef","PNG",0.275
"jbeef","jbeef","POL",0.33
"jbeef","jbeef","PRK",0.44
"jbeef","jbeef","PRT",0.385
"jbeef","jbeef","PRY",0.484
"jbeef","jbeef","PSE",0.275
"jbeef","jbeef","RAP",0.231
"jbeef","jbeef","ROU",0.33
"jbeef","jbeef","RUS",0.275
"jbeef","jbeef","RWA",0.385
"jbeef","jbeef","SAU",0.231
"jbeef","jbeef","SDN",0.33
"jbeef","jbeef","SEN",0.275
"jbeef","jbeef","SLB",0.275
"jbeef","jbeef","SLE",0.275
"jbeef","jbeef","SLV",0.484
"jbeef","jbeef","SOM",0.33
"jbeef","jbeef","SPP",0.385
"jbeef","jbeef","SVK",0.33
"jbeef","jbeef","SVN",0.33
"jbeef","jbeef","SWE",0.385
"jbeef","jbeef","SWZ",0.33
"jbeef","jbeef","SYR",0.231
"jbeef","jbeef","TCD",0.33
"jbeef","jbeef","TGO",0.275
"jbeef","jbeef","THA",0.33
"jbeef","jbeef","TJK",0.275
"jbeef","jbeef","TKM",0.275
"jbeef","jbeef","TLS",0.275
"jbeef","jbeef","TUN",0.231
"jbeef","jbeef","TUR",0.275
"jbeef","jbeef","TZA",0.385
"jbeef","jbeef","UGA",0.385
"jbeef","jbeef","UKP",0.385
"jbeef","jbeef","UKR",0.275
"jbeef","jbeef","URY",0.484
"jbeef","jbeef","USA",0.495
"jbeef","jbeef","UZB",0.275
"jbeef","jbeef","VEN",0.484
"jbeef","jbeef","VNM",0.275
"jbeef","jbeef","VUT",0.275
"jbeef","jbeef","YEM",0.231
"jbeef","jbeef","ZAF",0.418
"jbeef","jbeef","ZMB",0.33
"jbeef","jbeef","ZWE",0.33
"jbeef","jpork","AFG",-0.022
"jbeef","jpork","AGO",-0.022
"jbeef","jpork","ALB",-0.055
"jbeef","jpork","ARM",-0.033
"jbeef","jpork","AUS",-0.033
"jbeef","jpork","AUT",-0.077
"jbeef","jpork","AZE",-0.033
"jbeef","jpork","BDI",-0.022
"jbeef","jpork","BEN",-0.022
"jbeef","jpork","BFA",-0.022
"jbeef","jpork","BGD",-0.022
"jbeef","jpork","BGR",-0.055
"jbeef","jpork","BLR",-0.033
"jbeef","jpork","BLT",-0.033
"jbeef","jpork","BLX",-0.077
"jbeef","jpork","BLZ",-0.011
"jbeef","jpork","BOL",-0.011
"jbeef","jpork","BRA",-0.022
"jbeef","jpork","BTN",-0.022
"jbeef","jpork","BWA",-0.022
"jbeef","jpork","CAF",-0.022
"jbeef","jpork","CAN",-0.033
"jbeef","jpork","CHL",-0.011
"jbeef","jpork","CHM",-0.044
"jbeef","jpork","CHP",-0.077
"jbeef","jpork","CIV",-0.022
"jbeef","jpork","CMR",-0.022
"jbeef","jpork","COD",-0.022
"jbeef","jpork","COG",-0.022
"jbeef","jpork","CRB",-0.022
"jbeef","jpork","CRI",-0.011
"jbeef","jpork","CUB",-0.011
"jbeef","jpork","CZE",-0.055
"jbeef","jpork","DEU",-0.077
"jbeef","jpork","DJI",-0.022
"jbeef","jpork","DNK",-0.077
"jbeef","jpork","DOM",-0.011
"jbeef","jpork","ECU",-0.011
"jbeef","jpork","ERI",-0.022
"jbeef","jpork","ETH",-0.022
"jbeef","jpork","FJI",-0.022
"jbeef","jpork","FNP",-0.077
"jbeef","jpork","FRP",-0.077
"jbeef","jpork","GAB",-0.022
"jbeef","jpork","GEO",-0.033
"jbeef","jpork","GHA",-0.022
"jbeef","jpork","GIN",-0.022
"jbeef","jpork","GMB",-0.022
"jbeef","jpork","GNB",-0.022
"jbeef","jpork","GNQ",-0.022
"jbeef","jpork","GRC",-0.055
"jbeef","jpork","GSA",-0.011
"jbeef","jpork","GTM",-0.011
"jbeef","jpork","HND",-0.011
"jbeef","jpork","HRV",-0.055
"jbeef","jpork","HTI",-0.011
"jbeef","jpork","HUN",-0.055
"jbeef","jpork","IDN",-0.022
"jbeef","jpork","IRL",-0.077
"jbeef","jpork","ISL",-0.077
"jbeef","jpork","ISR",-0.033
"jbeef","jpork","ITP",-0.077
"jbeef","jpork","JAM",-0.022
"jbeef","jpork","JPN",-0.11
"jbeef","jpork","KAZ",-0.033
"jbeef","jpork","KEN",-0.022
"jbeef","jpork","KGZ",-0.033
"jbeef","jpork","KHM",-0.022
"jbeef","jpork","KOR",-0.11
"jbeef","jpork","LAO",-0.022
"jbeef","jpork","LBR",-0.022
"jbeef","jpork","LKA",-0.022
"jbeef","jpork","LSO",-0.022
"jbeef","jpork","MDA",-0.055
"jbeef","jpork","MDG",-0.022
"jbeef","jpork","MEX",-0.055
"jbeef","jpork","MLI",-0.022
"jbeef","jpork","MMR",-0.022
"jbeef","jpork","MNG",-0.11
"jbeef","jpork","MOZ",-0.022
"jbeef","jpork","MRT",-0.022
"jbeef","jpork","MWI",-0.022
"jbeef","jpork","MYS",-0.022
"jbeef","jpork","NAM",-0.022
"jbeef","jpork","NER",-0.022
"jbeef","jpork","NGA",-0.022
"jbeef","jpork","NIC",-0.011
"jbeef","jpork","NLD",-0.077
"jbeef","jpork","NOR",-0.077
"jbeef","jpork","NPL",-0.022
"jbeef","jpork","NZL",-0.033
"jbeef","jpork","OAO",-0.022
"jbeef","jpork","OBN",-0.055
"jbeef","jpork","OIO",-0.022
"jbeef","jpork","OPO",-0.022
"jbeef","jpork","OSA",-0.022
"jbeef","jpork","PAN",-0.011
"jbeef","jpork","PER",-0.011
"jbeef","jpork","PHL",-0.088
"jbeef","jpork","PNG",-0.022
"jbeef","jpork","POL",-0.055
"jbeef","jpork","PRK",-0.11
"jbeef","jpork","PRT",-0.077
"jbeef","jpork","PRY",-0.011
"jbeef","jpork","PSE",-0.022
"jbeef","jpork","ROU",-0.055
"jbeef","jpork","RUS",-0.033
"jbeef","jpork","RWA",-0.022
"jbeef","jpork","SDN",-0.022
"jbeef","jpork","SEN",-0.022
"jbeef","jpork","SLB",-0.022
"jbeef","jpork","SLE",-0.022
"jbeef","jpork","SLV",-0.011
"jbeef","jpork","SOM",-0.022
"jbeef","jpork","SPP",-0.077
"jbeef","jpork","SVK",-0.055
"jbeef","jpork","SVN",-0.055
"jbeef","jpork","SWE",-0.077
"jbeef","jpork","SWZ",-0.022
"jbeef","jpork","TCD",-0.022
"jbeef","jpork","TGO",-0.022
"jbeef","jpork","THA",-0.022
"jbeef","jpork","TJK",-0.033
"jbeef","jpork","TKM",-0.033
"jbeef","jpork","TLS",-0.022
"jbeef","jpork","TZA",-0.022
"jbeef","jpork","UGA",-0.022
"jbeef","jpork","UKP",-0.077
"jbeef","jpork","UKR",-0.033
"jbeef","jpork","URY",-0.011
"jbeef","jpork","USA",-0.011
"jbeef","jpork","UZB",-0.033
"jbeef","jpork","VEN",-0.011
"jbeef","jpork","VNM",-0.022
"jbeef","jpork","VUT",-0.022
"jbeef","jpork","ZAF",-0.033
"jbeef","jpork","ZMB",-0.022
"jbeef","jpork","ZWE",-0.022
"jbeef","jlamb","AUS",-0.11
"jbeef","jlamb","CAN",-0.022
"jbeef","jlamb","CHM",-0.011
"jbeef","jlamb","ISR",-0.022
"jbeef","jlamb","NZL",-0.022
"jbeef","jlamb","ZAF",-0.022
"jbeef","jpoul","ALB",-0.033
"jbeef","jpoul","ARM",-0.011
"jbeef","jpoul","AUS",-0.011
"jbeef","jpoul","AZE",-0.011
"jbeef","jpoul","BGR",-0.033
"jbeef","jpoul","BLR",-0.011
"jbeef","jpoul","BLT",-0.011
"jbeef","jpoul","CZE",-0.033
"jbeef","jpoul","EGY",-0.022
"jbeef","jpoul","GEO",-0.011
"jbeef","jpoul","GRC",-0.033
"jbeef","jpoul","HRV",-0.033
"jbeef","jpoul","HUN",-0.033
"jbeef","jpoul","JPN",-0.066
"jbeef","jpoul","KAZ",-0.011
"jbeef","jpoul","KGZ",-0.011
"jbeef","jpoul","MDA",-0.033
"jbeef","jpoul","OBN",-0.033
"jbeef","jpoul","POL",-0.033
"jbeef","jpoul","ROU",-0.033
"jbeef","jpoul","RUS",-0.011
"jbeef","jpoul","SVK",-0.033
"jbeef","jpoul","SVN",-0.033
"jbeef","jpoul","TJK",-0.011
"jbeef","jpoul","TKM",-0.011
"jbeef","jpoul","UKR",-0.011
"jbeef","jpoul","UZB",-0.011
"jbeef","jmilk","AFG",0.044
"jbeef","jmilk","AGO",0.044
"jbeef","jmilk","ALB",0.066
"jbeef","jmilk","ARG",0.033
"jbeef","jmilk","ARM",0.055
"jbeef","jmilk","AUS",0.055
"jbeef","jmilk","AUT",0.088
"jbeef","jmilk","AZE",0.055
"jbeef","jmilk","BDI",0.044
"jbeef","jmilk","BEN",0.044
"jbeef","jmilk","BFA",0.044
"jbeef","jmilk","BGD",0.044
"jbeef","jmilk","BGR",0.066
"jbeef","jmilk","BLR",0.055
"jbeef","jmilk","BLT",0.055
"jbeef","jmilk","BLX",0.088
"jbeef","jmilk","BLZ",0.011
"jbeef","jmilk","BOL",0.011
"jbeef","jmilk","BRA",0.033
"jbeef","jmilk","BTN",0.044
"jbeef","jmilk","BWA",0.044
"jbeef","jmilk","CAF",0.044
"jbeef","jmilk","CAN",0.066
"jbeef","jmilk","CHL",0.011
"jbeef","jmilk","CHM",0.055
"jbeef","jmilk","CHP",0.088
"jbeef","jmilk","CIV",0.044
"jbeef","jmilk","CMR",0.044
"jbeef","jmilk","COD",0.044
"jbeef","jmilk","COG",0.044
"jbeef","jmilk","COL",0.011
"jbeef","jmilk","CRB",0.044
"jbeef","jmilk","CRI",0.011
"jbeef","jmilk","CUB",0.011
"jbeef","jmilk","CYP",0.033
"jbeef","jmilk","CZE",0.066
"jbeef","jmilk","DEU",0.088
"jbeef","jmilk","DJI",0.044
"jbeef","jmilk","DNK",0.088
"jbeef","jmilk","DOM",0.011
"jbeef","jmilk","DZA",0.033
"jbeef","jmilk","ECU",0.011
"jbeef","jmilk","EGY",0.033
"jbeef","jmilk","ERI",0.044
"jbeef","jmilk","ETH",0.044
"jbeef","jmilk","FJI",0.044
"jbeef","jmilk","FNP",0.088
"jbeef","jmilk","FRP",0.088
"jbeef","jmilk","GAB",0.044
"jbeef","jmilk","GEO",0.055
"jbeef","jmilk","GHA",0.044
"jbeef","jmilk","GIN",0.044
"jbeef","jmilk","GMB",0.044
"jbeef","jmilk","GNB",0.044
"jbeef","jmilk","GNQ",0.044
"jbeef","jmilk","GRC",0.066
"jbeef","jmilk","GSA",0.011
"jbeef","jmilk","GTM",0.011
"jbeef","jmilk","HND",0.011
"jbeef","jmilk","HRV",0.066
"jbeef","jmilk","HTI",0.011
"jbeef","jmilk","HUN",0.066
"jbeef","jmilk","IDN",0.044
"jbeef","jmilk","IRL",0.088
"jbeef","jmilk","IRN",0.033
"jbeef","jmilk","IRQ",0.033
"jbeef","jmilk","ISL",0.088
"jbeef","jmilk","ISR",0.066
"jbeef","jmilk","ITP",0.088
"jbeef","jmilk","JAM",0.044
"jbeef","jmilk","JOR",0.033
"jbeef","jmilk","JPN",0.055
"jbeef","jmilk","KAZ",0.055
"jbeef","jmilk","KEN",0.044
"jbeef","jmilk","KGZ",0.055
"jbeef","jmilk","LBN",0.033
"jbeef","jmilk","LBR",0.044
"jbeef","jmilk","LBY",0.033
"jbeef","jmilk","LKA",0.044
"jbeef","jmilk","LSO",0.044
"jbeef","jmilk","MDA",0.066
"jbeef","jmilk","MDG",0.044
"jbeef","jmilk","MEX",0.055
"jbeef","jmilk","MLI",0.044
"jbeef","jmilk","MOR",0.033
"jbeef","jmilk","MOZ",0.044
"jbeef","jmilk","MRT",0.044
"jbeef","jmilk","MWI",0.044
"jbeef","jmilk","MYS",0.044
"jbeef","jmilk","NAM",0.044
"jbeef","jmilk","NER",0.044
"jbeef","jmilk","NGA",0.044
"jbeef","jmilk","NIC",0.011
"jbeef","jmilk","NLD",0.088
"jbeef","jmilk","NOR",0.088
"jbeef","jmilk","NPL",0.044
"jbeef","jmilk","NZL",0.066
"jbeef","jmilk","OAO",0.044
"jbeef","jmilk","OBN",0.066
"jbeef","jmilk","OIO",0.044
"jbeef","jmilk","OPO",0.044
"jbeef","jmilk","PAN",0.011
"jbeef","jmilk","PER",0.011
"jbeef","jmilk","PNG",0.044
"jbeef","jmilk","POL",0.066
"jbeef","jmilk","PRT",0.088
"jbeef","jmilk","PRY",0.011
"jbeef","jmilk","PSE",0.044
"jbeef","jmilk","RAP",0.033
"jbeef","jmilk","ROU",0.066
"jbeef","jmilk","RUS",0.055
"jbeef","jmilk","RWA",0.044
"jbeef","jmilk","SAU",0.033
"jbeef","jmilk","SDN",0.044
"jbeef","jmilk","SEN",0.044
"jbeef","jmilk","SLB",0.044
"jbeef","jmilk","SLE",0.044
"jbeef","jmilk","SLV",0.011
"jbeef","jmilk","SOM",0.044
"jbeef","jmilk","SPP",0.088
"jbeef","jmilk","SVK",0.066
"jbeef","jmilk","SVN",0.066
"jbeef","jmilk","SWE",0.088
"jbeef","jmilk","SWZ",0.044
"jbeef","jmilk","SYR",0.033
"jbeef","jmilk","TCD",0.044
"jbeef","jmilk","TGO",0.044
"jbeef","jmilk","THA",0.044
"jbeef","jmilk","TJK",0.055
"jbeef","jmilk","TKM",0.055
"jbeef","jmilk","TLS",0.044
"jbeef","jmilk","TUN",0.033
"jbeef","jmilk","TUR",0.033
"jbeef","jmilk","TZA",0.044
"jbeef","jmilk","UGA",0.044
"jbeef","jmilk","UKP",0.088
"jbeef","jmilk","UKR",0.055
"jbeef","jmilk","URY",0.011
"jbeef","jmilk","USA",0.044
"jbeef","jmilk","UZB",0.055
"jbeef","jmilk","VEN",0.011
"jbeef","jmilk","VUT",0.044
"jbeef","jmilk","YEM",0.033
"jbeef","jmilk","ZAF",0.066
"jbeef","jmilk","ZMB",0.044
"jbeef","jmilk","ZWE",0.044
"jpork","jbeef","AFG",-0.022
"jpork","jbeef","AGO",-0.022
"jpork","jbeef","ALB",-0.022
"jpork","jbeef","ARG",-0.066
"jpork","jbeef","ARM",-0.011
"jpork","jbeef","AUS",-0.088
"jpork","jbeef","AUT",-0.055
"jpork","jbeef","AZE",-0.011
"jpork","jbeef","BDI",-0.022
"jpork","jbeef","BEN",-0.022
"jpork","jbeef","BFA",-0.022
"jpork","jbeef","BGD",-0.022
"jpork","jbeef","BGR",-0.022
"jpork","jbeef","BLR",-0.011
"jpork","jbeef","BLT",-0.011
"jpork","jbeef","BLX",-0.055
"jpork","jbeef","BLZ",-0.055
"jpork","jbeef","BOL",-0.055
"jpork","jbeef","BRA",-0.044
"jpork","jbeef","BTN",-0.022
"jpork","jbeef","BWA",-0.022
"jpork","jbeef","CAF",-0.022
"jpork","jbeef","CAN",-0.077
"jpork","jbeef","CHL",-0.055
"jpork","jbeef","CHM",-0.066
"jpork","jbeef","CHP",-0.055
"jpork","jbeef","CIV",-0.022
"jpork","jbeef","CMR",-0.022
"jpork","jbeef","COD",-0.022
"jpork","jbeef","COG",-0.022
"jpork","jbeef","COL",-0.044
"jpork","jbeef","CRB",-0.022
"jpork","jbeef","CRI",-0.055
"jpork","jbeef","CUB",-0.055
"jpork","jbeef","CZE",-0.022
"jpork","jbeef","DEU",-0.055
"jpork","jbeef","DJI",-0.022
"jpork","jbeef","DNK",-0.055
"jpork","jbeef","DOM",-0.055
"jpork","jbeef","ECU",-0.055
"jpork","jbeef","EGY",-0.022
"jpork","jbeef","ERI",-0.022
"jpork","jbeef","ETH",-0.022
"jpork","jbeef","FJI",-0.022
"jpork","jbeef","FNP",-0.055
"jpork","jbeef","FRP",-0.055
"jpork","jbeef","GAB",-0.022
"jpork","jbeef","GEO",-0.011
"jpork","jbeef","GHA",-0.022
"jpork","jbeef","GIN",-0.022
"jpork","jbeef","GMB",-0.022
"jpork","jbeef","GNB",-0.022
"jpork","jbeef","GNQ",-0.022
"jpork","jbeef","GRC",-0.022
"jpork","jbeef","GSA",-0.055
"jpork","jbeef","GTM",-0.055
"jpork","jbeef","HND",-0.055
"jpork","jbeef","HRV",-0.022
"jpork","jbeef","HTI",-0.055
"jpork","jbeef","HUN",-0.022
"jpork","jbeef","IDN",-0.022
"jpork","jbeef","IRL",-0.055
"jpork","jbeef","ISL",-0.055
"jpork","jbeef","ISR",-0.077
"jpork","jbeef","ITP",-0.055
"jpork","jbeef","JAM",-0.022
"jpork","jbeef","JPN",-0.033
"jpork","jbeef","KAZ",-0.011
"jpork","jbeef","KEN",-0.022
"jpork","jbeef","KGZ",-0.011
"jpork","jbeef","KHM",-0.022
"jpork","jbeef","KOR",-0.066
"jpork","jbeef","LAO",-0.022
"jpork","jbeef","LBR",-0.022
"jpork","jbeef","LKA",-0.022
"jpork","jbeef","LSO",-0.022
"jpork","jbeef","MDA",-0.022
"jpork","jbeef","MDG",-0.022
"jpork","jbeef","MEX",-0.066
"jpork","jbeef","MLI",-0.022
"jpork","jbeef","MMR",-0.022
"jpork","jbeef","MOZ",-0.022
"jpork","jbeef","MRT",-0.022
"jpork","jbeef","MWI",-0.022
"jpork","jbeef","MYS",-0.022
"jpork","jbeef","NAM",-0.022
"jpork","jbeef","NER",-0.022
"jpork","jbeef","NGA",-0.022
"jpork","jbeef","NIC",-0.055
"jpork","jbeef","NLD",-0.055
"jpork","jbeef","NOR",-0.055
"jpork","jbeef","NPL",-0.022
"jpork","jbeef","NZL",-0.077
"jpork","jbeef","OAO",-0.022
"jpork","jbeef","OBN",-0.022
"jpork","jbeef","OIO",-0.022
"jpork","jbeef","OPO",-0.022
"jpork","jbeef","OSA",-0.022
"jpork","jbeef","PAN",-0.055
"jpork","jbeef","PER",-0.055
"jpork","jbeef","PHL",-0.033
"jpork","jbeef","PNG",-0.022
"jpork","jbeef","POL",-0.022
"jpork","jbeef","PRT",-0.055
"jpork","jbeef","PRY",-0.055
"jpork","jbeef","PSE",-0.022
"jpork","jbeef","ROU",-0.022
"jpork","jbeef","RUS",-0.011
"jpork","jbeef","RWA",-0.022
"jpork","jbeef","SDN",-0.022
"jpork","jbeef","SEN",-0.022
"jpork","jbeef","SLB",-0.022
"jpork","jbeef","SLE",-0.022
"jpork","jbeef","SLV",-0.055
"jpork","jbeef","SOM",-0.022
"jpork","jbeef","SPP",-0.055
"jpork","jbeef","SVK",-0.022
"jpork","jbeef","SVN",-0.022
"jpork","jbeef","SWE",-0.055
"jpork","jbeef","SWZ",-0.022
"jpork","jbeef","TCD",-0.022
"jpork","jbeef","TGO",-0.022
"jpork","jbeef","THA",-0.066
"jpork","jbeef","TJK",-0.011
"jpork","jbeef","TKM",-0.011
"jpork","jbeef","TLS",-0.022
"jpork","jbeef","TZA",-0.022
"jpork","jbeef","UGA",-0.022
"jpork","jbeef","UKP",-0.055
"jpork","jbeef","UKR",-0.011
"jpork","jbeef","URY",-0.055
"jpork","jbeef","USA",-0.022
"jpork","jbeef","UZB",-0.011
"jpork","jbeef","VEN",-0.055
"jpork","jbeef","VNM",-0.022
"jpork","jbeef","VUT",-0.022
"jpork","jbeef","ZAF",-0.077
"jpork","jbeef","ZMB",-0.022
"jpork","jbeef","ZWE",-0.022
"jpork","jpork","AFG",0.22
"jpork","jpork","AGO",0.385
"jpork","jpork","ALB",0.495
"jpork","jpork","ARG",0.495
"jpork","jpork","ARM",0.33
"jpork","jpork","AUS",0.44
"jpork","jpork","AUT",0.495
"jpork","jpork","AZE",0.33
"jpork","jpork","BDI",0.22
"jpork","jpork","BEN",0.242
"jpork","jpork","BFA",0.33
"jpork","jpork","BGD",0.22
"jpork","jpork","BGR",0.495
"jpork","jpork","BLR",0.33
"jpork","jpork","BLT",0.33
"jpork","jpork","BLX",0.495
"jpork","jpork","BLZ",0.418
"jpork","jpork","BOL",0.418
"jpork","jpork","BRA",0.55
"jpork","jpork","BTN",0.22
"jpork","jpork","BWA",0.385
"jpork","jpork","CAF",0.242
"jpork","jpork","CAN",0.385
"jpork","jpork","CHL",0.418
"jpork","jpork","CHM",0.462
"jpork","jpork","CHP",0.495
"jpork","jpork","CIV",0.242
"jpork","jpork","CMR",0.242
"jpork","jpork","COD",0.242
"jpork","jpork","COG",0.242
"jpork","jpork","COL",0.363
"jpork","jpork","CRB",0.22
"jpork","jpork","CRI",0.418
"jpork","jpork","CUB",0.418
"jpork","jpork","CYP",0.11
"jpork","jpork","CZE",0.495
"jpork","jpork","DEU",0.495
"jpork","jpork","DJI",0.33
"jpork","jpork","DNK",0.495
"jpork","jpork","DOM",0.418
"jpork","jpork","DZA",0.11
"jpork","jpork","ECU",0.418
"jpork","jpork","EGY",0.22
"jpork","jpork","ERI",0.33
"jpork","jpork","ETH",0.33
"jpork","jpork","FJI",0.22
"jpork","jpork","FNP",0.495
"jpork","jpork","FRP",0.495
"jpork","jpork","GAB",0.242
"jpork","jpork","GEO",0.33
"jpork","jpork","GHA",0.242
"jpork","jpork","GIN",0.242
"jpork","jpork","GMB",0.242
"jpork","jpork","GNB",0.242
"jpork","jpork","GNQ",0.242
"jpork","jpork","GRC",0.495
"jpork","jpork","GSA",0.418
"jpork","jpork","GTM",0.418
"jpork","jpork","HND",0.418
"jpork","jpork","HRV",0.495
"jpork","jpork","HTI",0.418
"jpork","jpork","HUN",0.495
"jpork","jpork","IDN",0.55
"jpork","jpork","IND",0.33
"jpork","jpork","IRL",0.495
"jpork","jpork","IRN",0.11
"jpork","jpork","IRQ",0.11
"jpork","jpork","ISL",0.495
"jpork","jpork","ISR",0.385
"jpork","jpork","ITP",0.495
"jpork","jpork","JAM",0.22
"jpork","jpork","JOR",0.11
"jpork","jpork","JPN",0.363
"jpork","jpork","KAZ",0.22
"jpork","jpork","KEN",0.22
"jpork","jpork","KGZ",0.22
"jpork","jpork","KHM",0.352
"jpork","jpork","KOR",0.33
"jpork","jpork","LAO",0.352
"jpork","jpork","LBN",0.11
"jpork","jpork","LBR",0.242
"jpork","jpork","LBY",0.11
"jpork","jpork","LKA",0.22
"jpork","jpork","LSO",0.385
"jpork","jpork","MDA",0.495
"jpork","jpork","MDG",0.385
"jpork","jpork","MEX",0.495
"jpork","jpork","MLI",0.33
"jpork","jpork","MMR",0.33
"jpork","jpork","MNG",0.385
"jpork","jpork","MOR",0.11
"jpork","jpork","MOZ",0.385
"jpork","jpork","MRT",0.33
"jpork","jpork","MWI",0.385
"jpork","jpork","MYS",0.55
"jpork","jpork","NAM",0.385
"jpork","jpork","NER",0.33
"jpork","jpork","NGA",0.22
"jpork","jpork","NIC",0.418
"jpork","jpork","NLD",0.495
"jpork","jpork","NOR",0.495
"jpork","jpork","NPL",0.22
"jpork","jpork","NZL",0.385
"jpork","jpork","OAO",0.22
"jpork","jpork","OBN",0.495
"jpork","jpork","OIO",0.22
"jpork","jpork","OPO",0.22
"jpork","jpork","OSA",0.352
"jpork","jpork","PAK",0.22
"jpork","jpork","PAN",0.418
"jpork","jpork","PER",0.418
"jpork","jpork","PHL",0.495
"jpork","jpork","PNG",0.22
"jpork","jpork","POL",0.495
"jpork","jpork","PRK",0.385
"jpork","jpork","PRT",0.495
"jpork","jpork","PRY",0.418
"jpork","jpork","PSE",0.242
"jpork","jpork","RAP",0.11
"jpork","jpork","ROU",0.495
"jpork","jpork","RUS",0.33
"jpork","jpork","RWA",0.22
"jpork","jpork","SAU",0.11
"jpork","jpork","SDN",0.33
"jpork","jpork","SEN",0.242
"jpork","jpork","SLB",0.22
"jpork","jpork","SLE",0.242
"jpork","jpork","SLV",0.418
"jpork","jpork","SOM",0.33
"jpork","jpork","SPP",0.495
"jpork","jpork","SVK",0.495
"jpork","jpork","SVN",0.495
"jpork","jpork","SWE",0.495
"jpork","jpork","SWZ",0.385
